energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre
0.795,112.067,0.645,-12.095,0.104,0.535,Tears For Fears,4,0.0527,85,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,0.00389,1,7,251489,0.347,music,"rock,80s"
0.859,129.77,0.77,-3.382,0.673,0.64,"Tyler, The Creator, ScHoolboy Q, Santigold",4,0.275,85,spotify:track:2aYHxnMF2umAavtgBvmkY1,2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),0.0,0,10,207273,0.362,music,"hip-hop,modern"
0.667,130.019,0.776,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4,0.0983,85,spotify:track:3WOhcATHxK2SLNeP5W3v1v,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,0.3,1,7,145219,0.0146,music,"gaming,modern"
0.854,140.515,0.477,-4.715,0.065,0.314,"LISA, ROSALÍA",5,0.275,85,spotify:track:7ov3TDp5D00Rnu5R1viX4w,7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),0.0,1,7,179790,0.0858,music,"gaming,modern"
0.356,169.653,0.529,-6.612,0.136,0.659,Julión Álvarez y su Norteño Banda,3,0.0569,85,spotify:track:0BiDnJFB3TlRB6aji7jUz3,0BiDnJFB3TlRB6aji7jUz3,Rey Sin Reina,0.0,1,3,150523,0.29,music,"latin,modern"
0.544,132.052,0.571,-10.613,0.322,0.216,d4vd,4,0.0299,85,spotify:track:1xK59OXxi2TAAAbmZK0kBL,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,0.00805,1,6,132631,0.453,music,"gaming,modern"
0.965,128.04,0.561,-3.673,0.371,0.304,"David Guetta, Bebe Rexha",4,0.0343,85,spotify:track:4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),7.07e-06,0,7,175238,0.00383,music,"gaming,modern"
0.552,144.941,0.64,-5.679,0.119,0.112,"Future, Metro Boomin, Travis Scott, Playboi Carti",4,0.129,84,spotify:track:28drn6tQo95MRvO0jQEo5C,28drn6tQo95MRvO0jQEo5C,Type Shit,0.0,1,2,228267,0.0215,music,"arabic,modern"
0.946,151.647,0.599,-4.263,0.0826,0.747,Artemas,4,0.0447,84,spotify:track:2GxrNKugF82CnoRFbQfzPf,2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,0.0106,1,11,142515,0.000938,music,"gaming,modern"
0.705,138.559,0.818,-6.679,0.613,0.772,Gorillaz,4,0.177,84,spotify:track:0d28khcov6AiegSCpG5TuT,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,0.00233,1,6,222640,0.00836,music,"punk,pop punk"
0.551,148.035,0.527,-11.258,0.403,0.443,Michael Marcagi,4,0.0345,84,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,2.75e-06,1,7,159636,0.384,music,"folk,indie"
0.712,91.98,0.848,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4,0.0981,84,spotify:track:3mg9jYNC1NihbthlglzrWP,3mg9jYNC1NihbthlglzrWP,+57,0.0,0,1,298131,0.221,music,"pop,mainstream"
