track_id,title,artist,genres,spotify_link,thumbnail_url
568kOjebZdPdV7nCVMLySP,Asu no Yozora Shoukaihan,Yuaru,코미디/힐링,https://open.spotify.com/track/568kOjebZdPdV7nCVMLySP,https://i.scdn.co/image/ab67616d0000b273758232e25b4c682ddaba1d9e
0UnOf7i44YK0ULpkEGHe4R,Dear my X,KyoungSeo,코미디/힐링,https://open.spotify.com/track/0UnOf7i44YK0ULpkEGHe4R,https://i.scdn.co/image/ab67616d0000b2739659451f3c10481af6a4587e
6QDCIS1AUmkWkrCsgUxCdE,Shiny Star(Original),Onestar,코미디/힐링,https://open.spotify.com/track/6QDCIS1AUmkWkrCsgUxCdE,https://i.scdn.co/image/ab67616d0000b273c5bc619d4506560d0e8145f2
0IhPHNcg11bQW48wn7Resa,Shiny Star(The Listen 5),Huh Gak,코미디/힐링,https://open.spotify.com/track/0IhPHNcg11bQW48wn7Resa,https://i.scdn.co/image/ab67616d0000b273c762300615738029b1779f2d
27yXEBgJQZdjWaFjvhYoDr,Generation Stars...(1992),Kiroy Y,코미디/힐링,https://open.spotify.com/track/27yXEBgJQZdjWaFjvhYoDr,https://i.scdn.co/image/ab67616d0000b273a79f33be6c68bfa80eca192f
4ghY3yALu1qeO2r3CQbfb2,Midnight,Heize,코미디/힐링,https://open.spotify.com/track/4ghY3yALu1qeO2r3CQbfb2,https://i.scdn.co/image/ab67616d0000b273c74739c9a5cfb4311141bd07
4TVEWI1QUBsVYpeSwTWfH8,アスノヨゾラ哨戒班,Wolpis Carter,코미디/힐링,https://open.spotify.com/track/4TVEWI1QUBsVYpeSwTWfH8,https://i.scdn.co/image/ab67616d0000b273aa25bc9684f674dd56d5b1bc
5vVL45nncczKCWS0uIQpzN,깊은 밤을 날아서,Lee Moon Sae,코미디/힐링,https://open.spotify.com/track/5vVL45nncczKCWS0uIQpzN,https://i.scdn.co/image/ab67616d0000b273cc1386a402d65b68ff748bc0
7oSfVLm4UAOlpfbTgDfBea,アスノヨゾラ哨戒班,DAZBEE,코미디/힐링,https://open.spotify.com/track/7oSfVLm4UAOlpfbTgDfBea,https://i.scdn.co/image/ab67616d0000b2738a56883aabf5bea0e4b3a897
0NCStxRS9GPHaioX0RKJJs,Counting Stars (Feat. Beenzino),BE'O,코미디/힐링,https://open.spotify.com/track/0NCStxRS9GPHaioX0RKJJs,https://i.scdn.co/image/ab67616d0000b2736127df613e6ea2623f6f2970
1aGkE2KvvZK2bxhx5jrqLB,"Shiny Star 4 (feat. Pureum, 어3거북이)",Kiroy Y,코미디/힐링,https://open.spotify.com/track/1aGkE2KvvZK2bxhx5jrqLB,https://i.scdn.co/image/ab67616d0000b273ad9fdb921416ea75d77a008a
2B2kfTIcniphxHgVqVQDCD,In The Night Sky,Damsonegongbang,코미디/힐링,https://open.spotify.com/track/2B2kfTIcniphxHgVqVQDCD,https://i.scdn.co/image/ab67616d0000b2735461c3c7521f1db2ea48eec4
4AXKY1ecXk6jvkT0VNNdiK,밤하늘 (Not Too Late),ATEEZ,코미디/힐링,https://open.spotify.com/track/4AXKY1ecXk6jvkT0VNNdiK,https://i.scdn.co/image/ab67616d0000b273dc13bc7510717da9228849e2
5v35eTNrUXiSC1wwoEYiYK,Star of the night sky,초록불꽃소년단,코미디/힐링,https://open.spotify.com/track/5v35eTNrUXiSC1wwoEYiYK,https://i.scdn.co/image/ab67616d0000b2736a07379be5c10e3c8189864a
6irY5QZjeYmYi66eBNciNW,밤하늘의 창,평화나무,코미디/힐링,https://open.spotify.com/track/6irY5QZjeYmYi66eBNciNW,https://i.scdn.co/image/ab67616d0000b273f1d907295fbba3dbbe092638
7Ce9CBfKJ0Cq2f2Rxn7WQA,Cocktail Love,KyoungSeo,코미디/힐링,https://open.spotify.com/track/7Ce9CBfKJ0Cq2f2Rxn7WQA,https://i.scdn.co/image/ab67616d0000b273cdd0aabdcfef2f5d9ba0ad91
1GdhQZl4C6YNg9maDviphG,Night Sky Patrol of Tomorrow,Orangestar,코미디/힐링,https://open.spotify.com/track/1GdhQZl4C6YNg9maDviphG,https://i.scdn.co/image/ab67616d0000b2734e917bf14ddee2c4c1046cd2
0y5iPq7pRaJV8iCGybWebp,Sticker picture,21univ.,코미디/힐링,https://open.spotify.com/track/0y5iPq7pRaJV8iCGybWebp,https://i.scdn.co/image/ab67616d0000b2733018871c96d3edf954d31953
6UqWoZqgsfbzLkYbn9vL2E,Night into the sky,AFTERSCHOOL RED,코미디/힐링,https://open.spotify.com/track/6UqWoZqgsfbzLkYbn9vL2E,https://i.scdn.co/image/ab67616d0000b27301fd5a3b6968b446df481915
